key,service,value,classification
app.timezone,case,Asia/Kolkata,CONFLICT
app.timezone,lock-svc,Asia/Kolkata,CONFLICT
app.timezone,order,Asia/Kolkata,CONFLICT
app.zone.id,case,Asia/Kolkata,CONFLICT
app.zone.id,order,Asia/Kolkata,CONFLICT
egov.advocate.host,case,http://localhost:8080/,CONFLICT
egov.advocate.host,order,http://localhost:8080/,CONFLICT
egov.advocate.path,case,advocate/v1/_search,CONFLICT
egov.advocate.path,order,advocate/v1/_search,CONFLICT
egov.courtId,case,KLKM52,CONFLICT
egov.courtId,order,KLKM52,CONFLICT
egov.file.store.delete.endpoint,case,/filestore/v1/files/delete,CONFLICT
egov.file.store.delete.endpoint,order,/filestore/v1/files/delete,CONFLICT
egov.filestore.host,case,http://localhost:8085/,CONFLICT
egov.filestore.host,order,http://localhost:8085/,CONFLICT
egov.filestore.path,case,filestore/v1/files/id?,CONFLICT
egov.filestore.path,order,filestore/v1/files/id?,CONFLICT
egov.hearing.host,case,http://localhost:8080/,CONFLICT
egov.hearing.host,order,http://localhost:9091/,CONFLICT
egov.hearing.search.path,case,hearing/v1/search,CONFLICT
egov.hearing.search.path,order,hearing/v1/search,CONFLICT
egov.hrms.host,case,https://dev.digit.org,CONFLICT
egov.hrms.host,order,https://dev.digit.org,CONFLICT
egov.hrms.search.endpoint,case,/egov-hrms/employees/_search,CONFLICT
egov.hrms.search.endpoint,order,/egov-hrms/employees/_search,CONFLICT
egov.idgen.host,case,http://localhost:8082/,CONFLICT
egov.idgen.host,order,http://localhost:8082/,CONFLICT
egov.idgen.path,case,egov-idgen/id/_generate,CONFLICT
egov.idgen.path,order,egov-idgen/id/_generate,CONFLICT
egov.individual.create.path,case,individual/v1/_create,CONFLICT
egov.individual.create.path,order,individual/v1/_create,CONFLICT
egov.individual.host,case,http://localhost:8081/,CONFLICT
egov.individual.host,lock-svc,http://localhost:8081/,CONFLICT
egov.individual.host,order,http://localhost:8081/,CONFLICT
egov.individual.path,case,individual/v1/_create,CONFLICT
egov.individual.path,order,individual/v1/_create,CONFLICT
egov.individual.search.path,case,individual/v1/_search,CONFLICT
egov.individual.search.path,lock-svc,individual/v1/_search,CONFLICT
egov.individual.search.path,order,individual/v1/_search,CONFLICT
egov.individual.update.path,case,individual/v1/_update,CONFLICT
egov.individual.update.path,order,individual/v1/_update,CONFLICT
egov.localization.context.path,case,/localization/messages/v1,CONFLICT
egov.localization.context.path,order,/localization/messages/v1,CONFLICT
egov.localization.host,case,https://dev.digit.org,CONFLICT
egov.localization.host,order,http://localhost:8080,CONFLICT
egov.localization.search.endpoint,case,/localization/messages/v1/_search,CONFLICT
egov.localization.search.endpoint,order,/_search,CONFLICT
egov.localization.statelevel,case,true,CONFLICT
egov.localization.statelevel,order,true,CONFLICT
egov.localization.workDir.path,case,/localization/messages/v1,CONFLICT
egov.localization.workDir.path,order,/localization/messages/v1,CONFLICT
egov.mdms.host,case,http://localhost:8084,CONFLICT
egov.mdms.host,lock-svc,https://dev.digit.org,CONFLICT
egov.mdms.host,order,http://localhost:8084,CONFLICT
egov.mdms.search.endpoint,case,/egov-mdms-service/v1/_search,CONFLICT
egov.mdms.search.endpoint,lock-svc,/egov-mdms-service/v1/_search,CONFLICT
egov.mdms.search.endpoint,order,/egov-mdms-service/v1/_search,CONFLICT
egov.sms.notification.admission.hearing.scheduled.template.id,case,1107173140979241046,CONFLICT
egov.sms.notification.admission.hearing.scheduled.template.id,order,1107173140979241046,CONFLICT
egov.sms.notification.topic,case,egov.core.notification.sms,CONFLICT
egov.sms.notification.topic,order,egov.core.notification.sms,CONFLICT
egov.url.shortner.endpoint,case,/egov-url-shortening/shortener,CONFLICT
egov.url.shortner.endpoint,order,/egov-url-shortening/shortener,CONFLICT
egov.url.shortner.host,case,https://dev.digit.org,CONFLICT
egov.url.shortner.host,order,https://dev.digit.org,CONFLICT
egov.user.context.path,case,/user/users,CONFLICT
egov.user.context.path,lock-svc,/user/users,CONFLICT
egov.user.context.path,order,/user/users,CONFLICT
egov.user.create.path,case,/_createnovalidate,CONFLICT
egov.user.create.path,lock-svc,/_createnovalidate,CONFLICT
egov.user.create.path,order,/_createnovalidate,CONFLICT
egov.user.host,case,http://localhost:8086,CONFLICT
egov.user.host,lock-svc,https://dev.digit.org,CONFLICT
egov.user.host,order,http://localhost:8086,CONFLICT
egov.user.search.path,case,/user/_search,CONFLICT
egov.user.search.path,lock-svc,/user/_search,CONFLICT
egov.user.search.path,order,/user/_search,CONFLICT
egov.user.update.path,case,/_updatenovalidate,CONFLICT
egov.user.update.path,lock-svc,/_updatenovalidate,CONFLICT
egov.user.update.path,order,/_updatenovalidate,CONFLICT
egov.workflow.businessservice.search.path,case,/egov-workflow-v2/egov-wf/businessservice/_search,CONFLICT
egov.workflow.businessservice.search.path,order,/egov-workflow-v2/egov-wf/businessservice/_search,CONFLICT
egov.workflow.host,case,http://localhost:8083,CONFLICT
