class,service,path,package,content_hash
AuditDetails,casemanagement,dristi-services/casemanagement/src/main/java/org/pucar/dristi/web/models/digitalizeddocument/AuditDetails.java,org.pucar.dristi.web.models.digitalizeddocument,b004368ea2fafd1c3bc41e5be137fafe
AuditDetails,digitalized-documents,dristi-services/digitalized-documents/src/main/java/digit/web/models/AuditDetails.java,digit.web.models,b004368ea2fafd1c3bc41e5be137fafe
AuditDetails,order-management,dristi-services/order-management/src/main/java/pucar/web/models/digitalizeddocument/AuditDetails.java,pucar.web.models.digitalizeddocument,b004368ea2fafd1c3bc41e5be137fafe
FileStoreUtil,application,dristi-services/application/src/main/java/org/pucar/dristi/util/FileStoreUtil.java,org.pucar.dristi.util,afcb88f6ff2902b829eefd3b7674e020
FileStoreUtil,hearing,dristi-services/hearing/src/main/java/org/pucar/dristi/util/FileStoreUtil.java,org.pucar.dristi.util,afcb88f6ff2902b829eefd3b7674e020
FileStoreUtil,order,dristi-services/order/src/main/java/org/pucar/dristi/util/FileStoreUtil.java,org.pucar.dristi.util,afcb88f6ff2902b829eefd3b7674e020
IdgenUtil,ab-diary,dristi-services/ab-diary/src/main/java/digit/util/IdgenUtil.java,digit.util,aa8a98b0a4a8bc58136601db4623e9f4
IdgenUtil,advocate-office-management,dristi-services/advocate-office-management/src/main/java/digit/util/IdgenUtil.java,digit.util,aa8a98b0a4a8bc58136601db4623e9f4
IdgenUtil,casemanagement,dristi-services/casemanagement/src/main/java/org/pucar/dristi/util/IdgenUtil.java,org.pucar.dristi.util,aa8a98b0a4a8bc58136601db4623e9f4
IdgenUtil,hearing-management,dristi-services/hearing-management/src/main/java/digit/util/IdgenUtil.java,digit.util,aa8a98b0a4a8bc58136601db4623e9f4
IdgenUtil,openapi,dristi-services/openapi/src/main/java/org/pucar/dristi/util/IdgenUtil.java,org.pucar.dristi.util,aa8a98b0a4a8bc58136601db4623e9f4
IdgenUtil,scheduler-svc,dristi-services/scheduler-svc/src/main/java/digit/util/IdgenUtil.java,digit.util,aa8a98b0a4a8bc58136601db4623e9f4
IdgenUtil,summons-svc,integration-services/summons-svc/src/main/java/digit/util/IdgenUtil.java,digit.util,aa8a98b0a4a8bc58136601db4623e9f4
IndividualUtil,application,dristi-services/application/src/main/java/org/pucar/dristi/util/IndividualUtil.java,org.pucar.dristi.util,325d395b82b36a12d2c84f079d0fd970
