service,path,classes
casemanagement,dristi-services/casemanagement/src/main/java/org/pucar/dristi/service/DocPreviewService.java,Producer
casemanagement,dristi-services/casemanagement/src/main/java/org/pucar/dristi/service/ServiceUrlMapperVCService.java,Producer
casemanagement,dristi-services/casemanagement/src/main/java/org/pucar/dristi/service/CaseBundleService.java,Producer
casemanagement,dristi-services/casemanagement/src/test/java/org/pucar/dristi/service/ServiceUrlMapperVCServiceTest.java,Producer
digitalized-documents,dristi-services/digitalized-documents/src/main/java/digit/service/ExaminationOfAccusedDocumentService.java,Producer
digitalized-documents,dristi-services/digitalized-documents/src/main/java/digit/service/NotificationService.java,Producer
digitalized-documents,dristi-services/digitalized-documents/src/main/java/digit/service/MediationDocumentService.java,Producer
digitalized-documents,dristi-services/digitalized-documents/src/main/java/digit/service/PleaDocumentService.java,Producer
digitalized-documents,dristi-services/digitalized-documents/src/main/java/digit/enrichment/PleaEnrichment.java,AuditDetails
digitalized-documents,dristi-services/digitalized-documents/src/main/java/digit/enrichment/MediationEnrichment.java,AuditDetails
digitalized-documents,dristi-services/digitalized-documents/src/main/java/digit/enrichment/ExaminationOfAccusedEnrichment.java,AuditDetails
digitalized-documents,dristi-services/digitalized-documents/src/main/java/digit/repository/rowmapper/DigitalizedDocumentRowMapper.java,AuditDetails
digitalized-documents,dristi-services/digitalized-documents/src/test/java/digit/service/MediationDocumentServiceTest.java,Producer
digitalized-documents,dristi-services/digitalized-documents/src/test/java/digit/service/ExaminationOfAccusedDocumentServiceTest.java,Producer
digitalized-documents,dristi-services/digitalized-documents/src/test/java/digit/service/PleaDocumentServiceTest.java,Producer
digitalized-documents,dristi-services/digitalized-documents/src/test/java/digit/enrichment/MediationEnrichmentTest.java,AuditDetails
order-management,dristi-services/order-management/src/main/java/pucar/service/SmsNotificationService.java,Producer
order-management,dristi-services/order-management/src/main/java/pucar/util/TaskManagementUtil.java,Producer
order-management,dristi-services/order-management/src/main/java/pucar/strategy/ordertype/PublishOrderNotice.java,Producer
application,dristi-services/application/src/main/java/org/pucar/dristi/service/PaymentUpdateService.java,Producer
application,dristi-services/application/src/main/java/org/pucar/dristi/service/WorkflowService.java,ServiceRequestRepository
application,dristi-services/application/src/main/java/org/pucar/dristi/service/IndividualService.java,IndividualUtil
application,dristi-services/application/src/main/java/org/pucar/dristi/service/SmsNotificationService.java,"Producer,ServiceRequestRepository"
application,dristi-services/application/src/main/java/org/pucar/dristi/service/ApplicationService.java,"FileStoreUtil,Producer"
application,dristi-services/application/src/main/java/org/pucar/dristi/util/AdvocateUtil.java,ServiceRequestRepository
application,dristi-services/application/src/main/java/org/pucar/dristi/util/WorkflowUtil.java,ServiceRequestRepository
application,dristi-services/application/src/main/java/org/pucar/dristi/util/IdgenUtil.java,ServiceRequestRepository
application,dristi-services/application/src/main/java/org/pucar/dristi/util/UserUtil.java,ServiceRequestRepository
application,dristi-services/application/src/main/java/org/pucar/dristi/validator/ApplicationValidator.java,FileStoreUtil
application,dristi-services/application/src/test/java/org/pucar/dristi/service/PaymentUpdateServiceTest.java,Producer
application,dristi-services/application/src/test/java/org/pucar/dristi/service/ApplicationServiceTest.java,"FileStoreUtil,Producer"
application,dristi-services/application/src/test/java/org/pucar/dristi/service/WorkflowServiceTest.java,ServiceRequestRepository
application,dristi-services/application/src/test/java/org/pucar/dristi/util/IdGenUtilTest.java,ServiceRequestRepository
application,dristi-services/application/src/test/java/org/pucar/dristi/util/UserUtilTest.java,ServiceRequestRepository
application,dristi-services/application/src/test/java/org/pucar/dristi/util/WorkflowUtilTest.java,ServiceRequestRepository
application,dristi-services/application/src/test/java/org/pucar/dristi/validator/ApplicationValidatorTest.java,FileStoreUtil
hearing,dristi-services/hearing/src/main/java/org/pucar/dristi/service/WorkflowService.java,ServiceRequestRepository
hearing,dristi-services/hearing/src/main/java/org/pucar/dristi/service/SmsNotificationService.java,"Producer,ServiceRequestRepository"
hearing,dristi-services/hearing/src/main/java/org/pucar/dristi/service/HearingService.java,Producer
hearing,dristi-services/hearing/src/main/java/org/pucar/dristi/util/TaskManagementUtil.java,"Producer,ServiceRequestRepository"
hearing,dristi-services/hearing/src/main/java/org/pucar/dristi/util/SchedulerUtil.java,ServiceRequestRepository
hearing,dristi-services/hearing/src/main/java/org/pucar/dristi/util/WorkflowUtil.java,ServiceRequestRepository
hearing,dristi-services/hearing/src/main/java/org/pucar/dristi/util/PendingTaskUtil.java,ServiceRequestRepository
hearing,dristi-services/hearing/src/main/java/org/pucar/dristi/util/OrderUtil.java,"Producer,ServiceRequestRepository"
hearing,dristi-services/hearing/src/main/java/org/pucar/dristi/util/InboxUtil.java,ServiceRequestRepository
hearing,dristi-services/hearing/src/main/java/org/pucar/dristi/util/IdgenUtil.java,ServiceRequestRepository
hearing,dristi-services/hearing/src/main/java/org/pucar/dristi/util/IndividualUtil.java,ServiceRequestRepository
hearing,dristi-services/hearing/src/main/java/org/pucar/dristi/util/TaskUtil.java,ServiceRequestRepository
hearing,dristi-services/hearing/src/main/java/org/pucar/dristi/validator/HearingRegistrationValidator.java,FileStoreUtil
hearing,dristi-services/hearing/src/test/java/org/pucar/dristi/service/WorkflowUtilTest.java,ServiceRequestRepository
hearing,dristi-services/hearing/src/test/java/org/pucar/dristi/service/WorkflowServiceTest.java,ServiceRequestRepository
hearing,dristi-services/hearing/src/test/java/org/pucar/dristi/service/HearingServiceTest.java,"FileStoreUtil,Producer"
hearing,dristi-services/hearing/src/test/java/org/pucar/dristi/util/SchedulerUtilTest.java,ServiceRequestRepository
hearing,dristi-services/hearing/src/test/java/org/pucar/dristi/util/IndividualUtilTest.java,ServiceRequestRepository
hearing,dristi-services/hearing/src/test/java/org/pucar/dristi/util/IdgenUtilTest.java,ServiceRequestRepository
hearing,dristi-services/hearing/src/test/java/org/pucar/dristi/validator/HearingRegistrationValidatorTest.java,FileStoreUtil
order,dristi-services/order/src/main/java/org/pucar/dristi/service/OrderRegistrationService.java,"FileStoreUtil,Producer"
order,dristi-services/order/src/main/java/org/pucar/dristi/service/SmsNotificationService.java,"Producer,ServiceRequestRepository"
order,dristi-services/order/src/main/java/org/pucar/dristi/util/HearingUtil.java,ServiceRequestRepository
order,dristi-services/order/src/main/java/org/pucar/dristi/util/WorkflowUtil.java,ServiceRequestRepository
order,dristi-services/order/src/main/java/org/pucar/dristi/util/IdgenUtil.java,ServiceRequestRepository
order,dristi-services/order/src/main/java/org/pucar/dristi/util/IndividualUtil.java,ServiceRequestRepository
order,dristi-services/order/src/main/java/org/pucar/dristi/util/LocalizationUtil.java,ServiceRequestRepository
order,dristi-services/order/src/main/java/org/pucar/dristi/validators/OrderRegistrationValidator.java,FileStoreUtil
order,dristi-services/order/src/test/java/org/pucar/dristi/service/OrderRegistrationServiceTest.java,"FileStoreUtil,Producer"
